"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"118794","26-04-26 21:00","Spain","LaLiga","2025/2026","Villarreal","Celta Vigo","2","1","H","2","0","H","0","1","A"
"118793","26-04-26 18:30","Spain","LaLiga","2025/2026","Osasuna","Sevilla","2","1","H","0","0","D","2","1","H"
"118792","26-04-26 16:15","Spain","LaLiga","2025/2026","Oviedo","Elche","1","2","A","0","2","A","1","0","H"
"118791","26-04-26 14:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Real Sociedad","3","3","D","1","1","D","2","2","D"
"118693","25-04-26 21:00","Spain","LaLiga","2025/2026","Atl. Madrid","Ath Bilbao","3","2","H","0","1","A","3","1","H"
"118692","25-04-26 18:30","Spain","LaLiga","2025/2026","Valencia","Girona","2","1","H","0","0","D","2","1","H"
"118691","25-04-26 16:15","Spain","LaLiga","2025/2026","Getafe","Barcelona","0","2","A","0","1","A","0","1","A"
"118690","25-04-26 14:00","Spain","LaLiga","2025/2026","Alaves","Mallorca","2","1","H","0","1","A","2","0","H"
"118571","24-04-26 21:00","Spain","LaLiga","2025/2026","Betis","Real Madrid","1","1","D","0","1","A","1","0","H"
"118530","23-04-26 21:30","Spain","LaLiga","2025/2026","Oviedo","Villarreal","1","1","D","0","1","A","1","0","H"
"118529","23-04-26 20:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Espanyol","1","0","H","0","0","D","1","0","H"
"118528","23-04-26 19:00","Spain","LaLiga","2025/2026","Levante","Sevilla","2","0","H","1","0","H","1","0","H"
"118502","22-04-26 21:30","Spain","LaLiga","2025/2026","Barcelona","Celta Vigo","1","0","H","1","0","H","0","0","D"
"118501","22-04-26 20:00","Spain","LaLiga","2025/2026","Real Sociedad","Getafe","0","1","A","0","1","A","0","0","D"
"118500","22-04-26 19:00","Spain","LaLiga","2025/2026","Elche","Atl. Madrid","3","2","H","2","2","D","1","0","H"
"118457","21-04-26 21:30","Spain","LaLiga","2025/2026","Girona","Betis","2","3","A","1","1","D","1","2","A"
"118458","21-04-26 21:30","Spain","LaLiga","2025/2026","Real Madrid","Alaves","2","1","H","1","0","H","1","1","D"
"118455","21-04-26 19:00","Spain","LaLiga","2025/2026","Ath Bilbao","Osasuna","1","0","H","1","0","H","0","0","D"
"118456","21-04-26 19:00","Spain","LaLiga","2025/2026","Mallorca","Valencia","1","1","D","0","0","D","1","1","D"
"118088","13-04-26 21:00","Spain","LaLiga","2025/2026","Levante","Getafe","1","0","H","0","0","D","1","0","H"
"118055","12-04-26 21:00","Spain","LaLiga","2025/2026","Ath Bilbao","Villarreal","1","2","A","0","2","A","1","0","H"
"118054","12-04-26 18:30","Spain","LaLiga","2025/2026","Celta Vigo","Oviedo","0","3","A","0","2","A","0","1","A"
"118053","12-04-26 16:15","Spain","LaLiga","2025/2026","Mallorca","Rayo Vallecano","3","0","H","2","0","H","1","0","H"
"118052","12-04-26 14:00","Spain","LaLiga","2025/2026","Osasuna","Betis","1","1","D","1","1","D","0","0","D"
"117953","11-04-26 21:00","Spain","LaLiga","2025/2026","Sevilla","Atl. Madrid","2","1","H","2","1","H","0","0","D"
"117952","11-04-26 18:30","Spain","LaLiga","2025/2026","Barcelona","Espanyol","4","1","H","2","0","H","2","1","H"
"117951","11-04-26 16:15","Spain","LaLiga","2025/2026","Elche","Valencia","1","0","H","0","0","D","1","0","H"
"117950","11-04-26 14:00","Spain","LaLiga","2025/2026","Real Sociedad","Alaves","3","3","D","2","2","D","1","1","D"
"117827","10-04-26 21:00","Spain","LaLiga","2025/2026","Real Madrid","Girona","1","1","D","0","0","D","1","1","D"
"117677","06-04-26 21:00","Spain","LaLiga","2025/2026","Girona","Villarreal","1","0","H","1","0","H","0","0","D"
"117584","05-04-26 21:00","Spain","LaLiga","2025/2026","Alaves","Osasuna","2","2","D","1","1","D","1","1","D"
"117583","05-04-26 18:30","Spain","LaLiga","2025/2026","Oviedo","Sevilla","1","0","H","1","0","H","0","0","D"
