"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"120227","12-05-26 19:00","Spain","LaLiga","2025/2026","Celta Vigo","Levante","1.91","3.79","4.10","1.04","11.60","1.24","4.21","1.80","2.10","2.86","1.43","5.53","1.15","1.65","2.24"
"119710","11-05-26 21:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Girona","2.30","3.33","3.38","1.06","10.00","1.31","3.50","1.97","1.91","3.37","1.34","6.80","1.11","1.68","2.18"
"119416","10-05-26 21:00","Spain","LaLiga","2025/2026","Barcelona","Real Madrid","1.73","4.86","4.05","1.01","27.00","1.12","6.50","1.36","3.20","1.97","1.91","3.18","1.37","1.43","2.82"
"119415","10-05-26 18:30","Spain","LaLiga","2025/2026","Oviedo","Getafe","2.99","3.00","2.76","1.18","5.00","1.80","2.10","3.37","1.34","7.24","1.10","14.00","1.03","2.44","1.56"
"119414","10-05-26 16:15","Spain","LaLiga","2025/2026","Ath Bilbao","Valencia","1.69","3.85","5.63","1.07","9.00","1.36","3.20","2.21","1.73","3.71","1.29","7.24","1.10","1.96","1.85"
"119413","10-05-26 14:00","Spain","LaLiga","2025/2026","Mallorca","Villarreal","2.63","3.59","2.69","1.03","13.70","1.21","4.56","1.73","2.21","2.69","1.48","5.01","1.18","1.57","2.41"
"119298","09-05-26 21:00","Spain","LaLiga","2025/2026","Real Sociedad","Betis","2.65","3.57","2.68","1.02","15.00","1.21","4.50","1.69","2.20","2.63","1.50","4.68","1.20","1.53","2.53"
"119297","09-05-26 18:30","Spain","LaLiga","2025/2026","Atl. Madrid","Celta Vigo","1.83","3.82","4.50","1.03","13.00","1.23","4.33","1.69","2.20","2.63","1.50","4.68","1.20","1.65","2.25"
"119296","09-05-26 16:15","Spain","LaLiga","2025/2026","Sevilla","Espanyol","1.99","3.31","4.42","1.11","6.84","1.50","2.63","2.50","1.54","5.01","1.18","10.10","1.06","2.16","1.70"
"119295","09-05-26 14:00","Spain","LaLiga","2025/2026","Elche","Alaves","2.26","3.30","3.50","1.06","10.00","1.28","3.75","1.97","1.91","3.37","1.34","6.32","1.13","1.68","2.18"
"119228","08-05-26 21:00","Spain","LaLiga","2025/2026","Levante","Osasuna","2.64","3.41","2.79","1.05","11.00","1.28","3.75","1.97","1.91","3.37","1.34","6.32","1.13","1.68","2.18"
"119176","04-05-26 21:00","Spain","LaLiga","2025/2026","Sevilla","Real Sociedad","2.50","3.33","3.03","1.08","8.42","1.34","3.37","2.11","1.80","3.85","1.27","7.69","1.09","1.83","1.98"
"119132","03-05-26 21:00","Spain","LaLiga","2025/2026","Espanyol","Real Madrid","4.58","3.89","1.80","1.02","15.80","1.20","4.74","1.58","2.42","2.50","1.54","4.45","1.22","1.60","2.34"
"119131","03-05-26 18:30","Spain","LaLiga","2025/2026","Betis","Oviedo","1.58","4.19","6.19","1.05","11.00","1.28","3.75","1.97","1.91","3.37","1.34","6.32","1.13","1.90","1.90"
"119130","03-05-26 16:15","Spain","LaLiga","2025/2026","Getafe","Rayo Vallecano","2.13","3.14","4.15","1.13","6.32","1.54","2.50","2.69","1.48","5.53","1.15","11.10","1.05","2.16","1.70"
"119129","03-05-26 14:00","Spain","LaLiga","2025/2026","Celta Vigo","Elche","1.74","3.99","4.86","1.03","13.70","1.21","4.56","1.73","2.21","2.69","1.48","5.01","1.18","1.68","2.18"
"119030","02-05-26 21:00","Spain","LaLiga","2025/2026","Osasuna","Barcelona","5.01","4.30","1.67","1.03","17.50","1.17","5.26","1.54","2.50","2.23","1.68","3.85","1.27","1.57","2.41"
"119029","02-05-26 18:30","Spain","LaLiga","2025/2026","Alaves","Ath Bilbao","2.88","3.39","2.57","1.07","9.00","1.36","3.20","2.32","1.67","4.05","1.25","8.08","1.09","1.83","1.98"
"119028","02-05-26 16:15","Spain","LaLiga","2025/2026","Valencia","Atl. Madrid","1.79","4.06","4.43","1.05","10.50","1.30","3.57","2.08","1.82","3.54","1.31","6.65","1.12","1.83","1.98"
"119027","02-05-26 14:00","Spain","LaLiga","2025/2026","Villarreal","Levante","1.76","4.24","4.40","1.02","18.50","1.14","5.79","1.46","2.77","2.13","1.73","3.85","1.27","1.50","2.60"
"118899","01-05-26 21:00","Spain","LaLiga","2025/2026","Girona","Mallorca","1.95","3.67","4.08","1.05","11.00","1.28","3.75","1.97","1.91","3.37","1.34","6.32","1.13","1.72","2.12"
"118834","27-04-26 21:00","Spain","LaLiga","2025/2026","Espanyol","Levante","2.13","3.48","3.66","1.05","11.00","1.28","3.75","1.97","1.91","3.18","1.37","6.32","1.13","1.68","2.18"
"118794","26-04-26 21:00","Spain","LaLiga","2025/2026","Villarreal","Celta Vigo","1.94","3.78","3.98","1.02","15.80","1.20","4.74","1.63","2.32","2.41","1.58","4.45","1.22","1.57","2.41"
"118793","26-04-26 18:30","Spain","LaLiga","2025/2026","Osasuna","Sevilla","2.00","3.46","4.16","1.09","8.00","1.40","3.00","2.32","1.67","4.05","1.25","8.08","1.09","1.90","1.90"
"118792","26-04-26 16:15","Spain","LaLiga","2025/2026","Oviedo","Elche","2.26","3.50","3.30","1.07","9.00","1.40","3.00","2.32","1.67","4.05","1.25","8.08","1.09","1.90","1.90"
"118791","26-04-26 14:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Real Sociedad","2.77","3.39","2.67","1.03","13.00","1.23","4.33","1.80","2.10","2.82","1.45","5.26","1.17","1.57","2.41"
"118693","25-04-26 21:00","Spain","LaLiga","2025/2026","Atl. Madrid","Ath Bilbao","1.96","3.84","3.84","1.03","13.00","1.26","4.00","1.80","2.10","2.82","1.45","5.26","1.17","1.76","2.06"
"118692","25-04-26 18:30","Spain","LaLiga","2025/2026","Valencia","Girona","2.25","3.36","3.48","1.06","10.00","1.31","3.50","1.97","1.91","3.37","1.34","6.80","1.11","1.68","2.18"
"118691","25-04-26 16:15","Spain","LaLiga","2025/2026","Getafe","Barcelona","6.45","4.09","1.58","1.06","10.00","1.31","3.50","1.97","1.91","3.37","1.34","6.32","1.13","1.90","1.90"
"118690","25-04-26 14:00","Spain","LaLiga","2025/2026","Alaves","Mallorca","2.14","3.36","3.77","1.06","10.00","1.28","3.75","1.97","1.91","3.18","1.37","6.32","1.13","1.74","2.10"
"118571","24-04-26 21:00","Spain","LaLiga","2025/2026","Betis","Real Madrid","3.89","4.17","1.87","1.02","21.00","1.14","5.79","1.43","2.90","2.11","1.80","3.53","1.31","1.44","2.79"
"118530","23-04-26 21:30","Spain","LaLiga","2025/2026","Oviedo","Villarreal","3.57","3.30","2.23","1.06","9.47","1.29","3.68","2.01","1.88","3.43","1.33","6.48","1.12","1.72","2.12"
"118529","23-04-26 20:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Espanyol","2.20","3.38","3.58","1.06","10.00","1.28","3.75","1.97","1.91","3.18","1.37","6.32","1.13","1.68","2.18"
"118528","23-04-26 19:00","Spain","LaLiga","2025/2026","Levante","Sevilla","2.57","3.28","2.98","1.08","8.42","1.34","3.37","2.21","1.73","3.85","1.27","7.69","1.09","1.83","1.98"
"118502","22-04-26 21:30","Spain","LaLiga","2025/2026","Barcelona","Celta Vigo","1.25","7.34","11.00","1.01","26.00","1.10","7.37","1.30","3.58","1.88","2.01","2.86","1.43","1.68","2.18"
"118501","22-04-26 20:00","Spain","LaLiga","2025/2026","Real Sociedad","Getafe","2.32","3.06","3.66","1.11","6.84","1.46","2.77","2.50","1.54","5.01","1.18","10.10","1.06","2.02","1.80"
"118500","22-04-26 19:00","Spain","LaLiga","2025/2026","Elche","Atl. Madrid","2.58","3.77","2.65","1.03","13.70","1.21","4.56","1.73","2.21","2.69","1.48","5.01","1.18","1.60","2.34"
"118457","21-04-26 21:30","Spain","LaLiga","2025/2026","Girona","Betis","2.46","3.34","3.08","1.06","10.00","1.28","3.75","1.97","1.91","3.37","1.34","6.80","1.11","1.68","2.18"
"118458","21-04-26 21:30","Spain","LaLiga","2025/2026","Real Madrid","Alaves","1.25","7.70","10.30","1.02","21.00","1.08","8.42","1.26","3.95","1.73","2.21","2.50","1.54","1.68","2.18"
"118455","21-04-26 19:00","Spain","LaLiga","2025/2026","Ath Bilbao","Osasuna","1.90","3.53","4.50","1.05","10.50","1.29","3.68","2.01","1.88","3.43","1.33","6.48","1.12","1.76","2.06"
"118456","21-04-26 19:00","Spain","LaLiga","2025/2026","Mallorca","Valencia","2.74","3.34","2.74","1.07","9.00","1.33","3.40","2.21","1.73","3.71","1.29","7.24","1.10","1.76","2.06"
"118088","13-04-26 21:00","Spain","LaLiga","2025/2026","Levante","Getafe","2.77","3.06","2.91","1.11","6.84","1.46","2.77","2.50","1.54","5.01","1.18","10.10","1.06","2.02","1.80"
"118055","12-04-26 21:00","Spain","LaLiga","2025/2026","Ath Bilbao","Villarreal","2.09","3.47","3.78","1.05","11.00","1.28","3.75","1.97","1.91","3.37","1.34","6.32","1.13","1.72","2.12"
"118054","12-04-26 18:30","Spain","LaLiga","2025/2026","Celta Vigo","Oviedo","1.80","3.56","5.12","1.09","8.00","1.36","3.20","2.21","1.73","4.05","1.25","8.08","1.09","1.96","1.85"
"118053","12-04-26 16:15","Spain","LaLiga","2025/2026","Mallorca","Rayo Vallecano","2.48","3.41","3.00","1.07","9.00","1.31","3.50","2.10","1.80","3.60","1.30","6.80","1.11","1.85","1.96"
"118052","12-04-26 14:00","Spain","LaLiga","2025/2026","Osasuna","Betis","2.40","3.39","3.14","1.06","9.47","1.30","3.58","2.01","1.88","3.43","1.33","6.90","1.11","1.76","2.06"
"117953","11-04-26 21:00","Spain","LaLiga","2025/2026","Sevilla","Atl. Madrid","2.30","3.68","3.09","1.03","13.00","1.26","4.00","1.89","2.00","3.18","1.37","5.81","1.14","1.74","2.10"
"117952","11-04-26 18:30","Spain","LaLiga","2025/2026","Barcelona","Espanyol","1.33","5.88","9.20","1.02","23.00","1.14","6.00","1.40","3.00","2.10","1.80","3.37","1.34","1.68","2.18"
"117951","11-04-26 16:15","Spain","LaLiga","2025/2026","Elche","Valencia","2.74","3.56","2.59","1.03","13.70","1.24","4.21","1.80","2.10","2.86","1.43","5.53","1.15","1.62","2.30"
"117950","11-04-26 14:00","Spain","LaLiga","2025/2026","Real Sociedad","Alaves","1.85","3.79","4.44","1.03","13.70","1.24","4.21","1.73","2.21","2.69","1.48","5.01","1.18","1.65","2.24"
"117827","10-04-26 21:00","Spain","LaLiga","2025/2026","Real Madrid","Girona","1.32","6.13","9.14","1.01","29.00","1.09","8.00","1.28","3.75","1.75","2.10","2.63","1.50","1.50","2.58"
"117677","06-04-26 21:00","Spain","LaLiga","2025/2026","Girona","Villarreal","3.13","3.64","2.29","1.02","15.80","1.20","4.74","1.63","2.32","2.50","1.54","4.45","1.22","1.53","2.53"
"117584","05-04-26 21:00","Spain","LaLiga","2025/2026","Alaves","Osasuna","2.76","3.27","2.76","1.08","8.42","1.37","3.16","2.21","1.73","4.16","1.24","8.40","1.08","1.90","1.90"
"117583","05-04-26 18:30","Spain","LaLiga","2025/2026","Oviedo","Sevilla","3.03","3.09","2.65","1.11","6.91","1.45","2.79","2.48","1.55","4.96","1.18","9.96","1.06","2.00","1.82"
"117582","05-04-26 16:15","Spain","LaLiga","2025/2026","Valencia","Celta Vigo","2.41","3.33","3.18","1.08","8.51","1.37","3.19","2.19","1.74","3.82","1.28","7.62","1.09","1.89","1.92"
"117581","05-04-26 14:00","Spain","LaLiga","2025/2026","Getafe","Ath Bilbao","3.39","2.95","2.52","1.17","5.26","1.73","2.21","3.03","1.39","6.48","1.12","12.50","1.03","2.31","1.62"
"117485","04-04-26 21:00","Spain","LaLiga","2025/2026","Atl. Madrid","Barcelona","3.55","4.31","1.93","1.02","24.00","1.13","6.32","1.37","3.16","2.01","1.88","3.21","1.36","1.41","2.94"
"117484","04-04-26 18:30","Spain","LaLiga","2025/2026","Betis","Espanyol","1.83","3.88","4.45","1.03","13.70","1.24","4.21","1.80","2.10","3.03","1.39","5.53","1.15","1.72","2.12"
"117483","04-04-26 16:15","Spain","LaLiga","2025/2026","Mallorca","Real Madrid","5.95","4.41","1.57","1.02","18.50","1.18","5.00","1.54","2.50","2.34","1.62","4.05","1.25","1.70","2.16"
"117482","04-04-26 14:00","Spain","LaLiga","2025/2026","Real Sociedad","Levante","1.63","4.49","5.18","1.03","17.50","1.18","5.00","1.60","2.38","2.44","1.57","4.37","1.22","1.65","2.25"
"117403","03-04-26 21:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Elche","1.77","3.88","4.85","1.05","11.00","1.26","4.00","1.89","2.00","3.01","1.40","5.81","1.14","1.72","2.12"
"114444","22-03-26 21:00","Spain","LaLiga","2025/2026","Real Madrid","Atl. Madrid","2.02","3.88","3.59","1.03","18.00","1.17","5.32","1.54","2.53","2.30","1.63","4.12","1.25","1.49","2.64"
"114443","22-03-26 18:30","Spain","LaLiga","2025/2026","Ath Bilbao","Betis","2.03","3.66","3.76","1.06","10.00","1.33","3.40","2.10","1.80","3.60","1.30","6.80","1.11","1.76","2.06"
"114442","22-03-26 16:15","Spain","LaLiga","2025/2026","Celta Vigo","Alaves","1.94","3.35","4.63","1.07","9.00","1.36","3.20","2.21","1.73","4.05","1.25","8.08","1.09","1.83","1.98"
"114441","22-03-26 14:00","Spain","LaLiga","2025/2026","Barcelona","Rayo Vallecano","1.22","8.28","11.60","1.01","29.00","1.08","8.42","1.29","3.68","1.73","2.21","2.50","1.54","1.68","2.18"
"114334","21-03-26 21:00","Spain","LaLiga","2025/2026","Sevilla","Valencia","2.25","3.27","3.57","1.10","7.45","1.42","2.93","2.30","1.63","4.41","1.22","8.94","1.07","1.96","1.85"
"114332","21-03-26 18:30","Spain","LaLiga","2025/2026","Levante","Oviedo","2.40","3.26","3.26","1.09","8.00","1.40","3.00","2.32","1.67","4.37","1.22","8.82","1.07","1.90","1.90"
"114333","21-03-26 18:30","Spain","LaLiga","2025/2026","Osasuna","Girona","2.03","3.65","3.80","1.03","13.00","1.26","4.00","1.89","2.00","3.01","1.40","5.81","1.14","1.65","2.24"
"114331","21-03-26 16:15","Spain","LaLiga","2025/2026","Espanyol","Getafe","2.61","2.94","3.27","1.17","5.26","1.67","2.32","3.03","1.39","6.48","1.12","12.50","1.03","2.33","1.61"
"114330","21-03-26 14:00","Spain","LaLiga","2025/2026","Elche","Mallorca","2.15","3.47","3.60","1.04","11.60","1.26","3.95","1.88","2.01","3.03","1.39","6.02","1.14","1.68","2.18"
"114220","20-03-26 21:00","Spain","LaLiga","2025/2026","Villarreal","Real Sociedad","1.99","3.68","3.88","1.03","13.00","1.23","4.33","1.80","2.10","2.82","1.45","5.26","1.17","1.60","2.34"
"110051","16-03-26 21:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Levante","1.86","3.59","4.68","1.07","9.00","1.33","3.40","2.21","1.73","3.71","1.29","7.24","1.10","1.83","1.98"
"108029","15-03-26 21:00","Spain","LaLiga","2025/2026","Real Sociedad","Osasuna","1.91","3.69","4.21","1.05","11.00","1.28","3.75","1.97","1.91","3.37","1.34","6.32","1.13","1.72","2.12"
"108028","15-03-26 18:30","Spain","LaLiga","2025/2026","Betis","Celta Vigo","2.08","3.35","3.96","1.06","9.47","1.29","3.68","2.01","1.88","3.21","1.36","6.48","1.12","1.72","2.12"
"108027","15-03-26 16:15","Spain","LaLiga","2025/2026","Barcelona","Sevilla","1.30","5.86","10.90","1.01","22.00","1.11","6.84","1.37","3.16","2.01","1.88","3.03","1.39","1.68","2.18"
"108026","15-03-26 14:00","Spain","LaLiga","2025/2026","Mallorca","Espanyol","2.48","3.24","3.14","1.10","7.37","1.43","2.90","2.23","1.68","4.16","1.24","8.40","1.08","1.90","1.90"
"106626","14-03-26 21:00","Spain","LaLiga","2025/2026","Real Madrid","Elche","1.29","6.28","10.50","1.02","22.00","1.16","5.50","1.46","2.75","2.21","1.73","3.60","1.30","1.83","1.98"
"106625","14-03-26 18:30","Spain","LaLiga","2025/2026","Oviedo","Valencia","2.96","3.17","2.66","1.09","8.00","1.36","3.20","2.32","1.67","4.05","1.25","8.08","1.09","1.90","1.90"
"106624","14-03-26 16:15","Spain","LaLiga","2025/2026","Atl. Madrid","Getafe","1.70","3.57","6.12","1.10","7.37","1.43","2.90","2.32","1.63","4.45","1.22","9.03","1.07","2.22","1.66"
"106623","14-03-26 14:00","Spain","LaLiga","2025/2026","Girona","Ath Bilbao","3.00","3.41","2.48","1.06","10.00","1.31","3.50","1.97","1.91","3.37","1.34","6.80","1.11","1.68","2.18"
"105953","13-03-26 21:00","Spain","LaLiga","2025/2026","Alaves","Villarreal","3.80","3.41","2.10","1.05","11.00","1.28","3.75","1.97","1.91","3.18","1.37","5.81","1.14","1.65","2.24"
"100585","09-03-26 21:00","Spain","LaLiga","2025/2026","Espanyol","Oviedo","1.95","3.39","4.48","1.08","8.42","1.37","3.16","2.23","1.68","4.16","1.24","8.40","1.08","1.96","1.85"
"99656","08-03-26 21:00","Spain","LaLiga","2025/2026","Valencia","Alaves","2.12","3.10","4.24","1.11","6.84","1.46","2.77","2.41","1.58","4.45","1.22","9.03","1.07","2.02","1.80"
"99646","08-03-26 18:30","Spain","LaLiga","2025/2026","Sevilla","Rayo Vallecano","2.51","3.08","3.25","1.10","7.37","1.43","2.90","2.32","1.63","4.16","1.24","9.03","1.07","1.90","1.90"
"99624","08-03-26 16:15","Spain","LaLiga","2025/2026","Getafe","Betis","2.94","2.78","3.02","1.17","5.32","1.57","2.45","2.83","1.44","5.96","1.14","12.40","1.04","2.16","1.70"
"99607","08-03-26 14:00","Spain","LaLiga","2025/2026","Villarreal","Elche","1.48","4.65","7.15","1.02","16.00","1.19","4.79","1.57","2.45","2.39","1.59","4.41","1.22","1.72","2.12"
"99579","07-03-26 21:00","Spain","LaLiga","2025/2026","Ath Bilbao","Barcelona","4.92","4.45","1.66","1.02","18.50","1.17","5.26","1.50","2.63","2.23","1.68","3.85","1.27","1.57","2.41"
"99563","07-03-26 18:30","Spain","LaLiga","2025/2026","Atl. Madrid","Real Sociedad","1.66","4.11","5.40","1.03","13.00","1.23","4.33","1.80","2.10","2.82","1.45","5.26","1.17","1.72","2.12"
"99548","07-03-26 16:15","Spain","LaLiga","2025/2026","Levante","Girona","2.98","3.35","2.51","1.05","10.50","1.26","3.95","1.88","2.01","3.03","1.39","6.02","1.14","1.65","2.24"
"99510","07-03-26 14:00","Spain","LaLiga","2025/2026","Osasuna","Mallorca","1.91","3.49","4.54","1.09","8.00","1.40","3.00","2.32","1.67","4.05","1.25","8.08","1.09","1.90","1.90"
"99494","06-03-26 21:00","Spain","LaLiga","2025/2026","Celta Vigo","Real Madrid","3.12","3.46","2.38","1.05","11.00","1.28","3.75","1.97","1.91","3.18","1.37","6.32","1.13","1.68","2.18"
"99455","04-03-26 19:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Oviedo","1.74","3.69","5.38","1.09","8.00","1.40","3.00","2.32","1.67","4.05","1.25","8.08","1.09","2.02","1.80"
"99423","02-03-26 21:00","Spain","LaLiga","2025/2026","Real Madrid","Getafe","1.41","4.62","9.83","1.06","9.57","1.30","3.62","2.09","1.81","3.50","1.31","6.83","1.11","2.22","1.66"
"98768","01-03-26 21:00","Spain","LaLiga","2025/2026","Girona","Celta Vigo","2.54","3.25","3.05","1.06","9.47","1.34","3.37","2.11","1.80","3.53","1.31","7.69","1.09","1.76","2.06"
"98757","01-03-26 18:30","Spain","LaLiga","2025/2026","Betis","Sevilla","1.79","3.89","4.61","1.06","10.00","1.33","3.40","2.10","1.80","3.60","1.30","6.80","1.11","1.90","1.90"
"98729","01-03-26 16:15","Spain","LaLiga","2025/2026","Valencia","Osasuna","2.47","3.19","3.19","1.09","8.00","1.40","3.00","2.32","1.67","4.37","1.22","8.82","1.07","1.90","1.90"
"98714","01-03-26 14:00","Spain","LaLiga","2025/2026","Elche","Espanyol","2.45","3.37","3.06","1.06","10.00","1.31","3.50","2.10","1.80","3.37","1.34","6.80","1.11","1.72","2.12"
"97486","28-02-26 21:00","Spain","LaLiga","2025/2026","Oviedo","Atl. Madrid","5.15","3.57","1.80","1.06","10.00","1.31","3.50","2.10","1.80","3.37","1.34","6.80","1.11","1.76","2.06"
"97468","28-02-26 18:30","Spain","LaLiga","2025/2026","Mallorca","Real Sociedad","3.24","3.38","2.34","1.08","8.42","1.34","3.37","2.21","1.73","3.85","1.27","7.69","1.09","1.83","1.98"
"97454","28-02-26 16:15","Spain","LaLiga","2025/2026","Barcelona","Villarreal","1.39","5.86","7.13","1.01","34.00","1.08","8.42","1.26","3.95","1.63","2.32","2.41","1.58","1.41","2.94"
"97408","28-02-26 14:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Ath Bilbao","2.61","3.17","3.02","1.09","8.00","1.40","3.00","2.34","1.62","4.37","1.22","8.82","1.07","1.90","1.90"
"97384","27-02-26 21:00","Spain","LaLiga","2025/2026","Levante","Alaves","2.80","3.16","2.80","1.09","8.00","1.40","3.00","2.34","1.62","4.37","1.22","8.82","1.07","1.83","1.98"
"97282","23-02-26 21:00","Spain","LaLiga","2025/2026","Alaves","Girona","2.51","3.16","3.16","1.07","9.00","1.33","3.40","2.21","1.73","3.71","1.29","7.24","1.10","1.83","1.98"
"97260","22-02-26 21:00","Spain","LaLiga","2025/2026","Villarreal","Valencia","1.72","4.11","4.89","1.03","13.70","1.26","3.95","1.80","2.10","3.03","1.39","5.53","1.15","1.76","2.06"
