"id","matchDate","Country","League","Season","homeTeam","awayTeam","HBPFT","ABPFT","HBP1H","ABP1H","HBP2H","ABP2H","HTSFT","ATSFT","HTS1H","ATS1H","HTS2H","ATS2H","HSONFT","ASONFT","HSON1H","ASON1H","HSON2H","ASON2H","HSOFFFT","ASOFFFT","HSOFF1H","ASOFF1H","HSOFF2H","ASOFF2H"
"119414","10-05-26 16:15","Spain","LaLiga","2025/2026","Ath Bilbao","Valencia","55","45","46","54","65","35","14","7","4","5","10","2","4","3","1","1","3","2","5","2","2","2","3","0"
"119413","10-05-26 14:00","Spain","LaLiga","2025/2026","Mallorca","Villarreal","56","44","55","45","56","44","18","7","9","3","9","4","8","2","2","1","6","1","7","3","5","1","2","2"
"119298","09-05-26 21:00","Spain","LaLiga","2025/2026","Real Sociedad","Betis","65","35","65","35","66","34","14","14","5","9","9","5","6","6","2","4","4","2","5","5","2","4","3","1"
"119297","09-05-26 18:30","Spain","LaLiga","2025/2026","Atl. Madrid","Celta Vigo","56","44","52","48","60","40","20","3","10","1","10","2","4","1","2","0","2","1","10","1","3","0","7","1"
"119296","09-05-26 16:15","Spain","LaLiga","2025/2026","Sevilla","Espanyol","65","35","58","42","72","28","21","10","10","3","11","7","6","5","2","1","4","4","7","3","3","1","4","2"
"119295","09-05-26 14:00","Spain","LaLiga","2025/2026","Elche","Alaves","65","35","62","38","68","32","16","12","6","4","10","8","5","4","1","0","4","4","7","5","2","2","5","3"
"119228","08-05-26 21:00","Spain","LaLiga","2025/2026","Levante","Osasuna","66","34","57","43","78","22","35","5","14","2","21","3","12","3","4","2","8","1","15","2","6","0","9","2"
"119176","04-05-26 21:00","Spain","LaLiga","2025/2026","Sevilla","Real Sociedad","42","58","53","47","32","68","19","6","15","1","4","5","5","0","4","0","1","0","8","1","6","0","2","1"
"119132","03-05-26 21:00","Spain","LaLiga","2025/2026","Espanyol","Real Madrid","33","67","33","67","34","66","17","15","7","8","10","7","3","5","1","1","2","4","8","5","4","3","4","2"
"119131","03-05-26 18:30","Spain","LaLiga","2025/2026","Betis","Oviedo","55","45","56","44","53","47","10","17","7","8","3","9","5","5","3","3","2","2","1","8","0","4","1","4"
"119130","03-05-26 16:15","Spain","LaLiga","2025/2026","Getafe","Rayo Vallecano","56","44","46","54","65","35","13","10","3","6","10","4","3","6","0","3","3","3","8","3","3","2","5","1"
"119129","03-05-26 14:00","Spain","LaLiga","2025/2026","Celta Vigo","Elche","33","67","34","66","33","67","6","15","2","7","4","8","4","4","2","3","2","1","1","8","0","3","1","5"
"119030","02-05-26 21:00","Spain","LaLiga","2025/2026","Osasuna","Barcelona","30","70","30","70","29","71","9","13","3","6","6","7","4","4","1","2","3","2","4","6","1","2","3","4"
